,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Delta,-2.388,0.651,-3.678,-1.022,0.009,0.011,5949.0,4327.0,1.0
mu_delta[midshaft],-2.549,0.424,-3.362,-1.716,0.004,0.004,9234.0,7214.0,1.0
mu_delta[distal],-2.548,0.498,-3.55,-1.597,0.005,0.005,10330.0,7270.0,1.0
base_ref[midshaft],-3.061,0.333,-3.736,-2.434,0.004,0.004,6292.0,5840.0,1.0
base_ref[distal],-2.27,0.364,-2.998,-1.556,0.005,0.004,6503.0,5871.0,1.0
gamma[age],0.184,0.073,0.039,0.325,0.001,0.001,12044.0,5837.0,1.0
gamma[female],0.395,0.209,-0.015,0.808,0.002,0.003,9585.0,5797.0,1.0
gamma[smoking],1.268,0.367,0.578,2.009,0.004,0.004,8982.0,5284.0,1.0
gamma[complete_displacement],0.803,0.255,0.311,1.306,0.003,0.003,8256.0,5173.0,1.0
gamma[comminution],0.54,0.255,0.058,1.051,0.002,0.003,10515.0,6374.0,1.0
gamma[shortening_gt2cm],0.673,0.265,0.13,1.177,0.003,0.003,10990.0,6041.0,1.0
prev[female],0.303,0.037,0.226,0.374,0.0,0.0,10823.0,5852.0,1.0
prev[smoking],0.257,0.035,0.19,0.328,0.0,0.0,10100.0,5805.0,1.0
prev[complete_displacement],0.545,0.04,0.466,0.62,0.0,0.0,10374.0,5519.0,1.0
prev[comminution],0.349,0.038,0.273,0.419,0.0,0.0,10958.0,5906.0,1.0
prev[shortening_gt2cm],0.303,0.037,0.231,0.374,0.0,0.0,10648.0,5840.0,1.0
omega,0.59,0.494,0.0,1.566,0.007,0.006,4880.0,4824.0,1.0
