score,mean,count
0,0.0382262996941896,654
1,0.08333333333333333,132
2,0.06997084548104957,343
3,0.06115107913669065,278
4,0.04291845493562232,233
5,0.07592891760904685,619
6,0.09004739336492891,211
7,0.1391941391941392,546
8,0.1111111111111111,396
9,0.12750455373406194,549
10,0.18361581920903955,354
11,0.19029850746268656,268
12,0.1915367483296214,449
13,0.31297709923664124,131
14,0.29535864978902954,237
15,0.33112582781456956,151
16,0.4012738853503185,157
17,0.4375,80
18,0.38235294117647056,68
19,0.4594594594594595,74
20,0.5789473684210527,19
21,0.7,40
22,0.2857142857142857,7
23,0.3333333333333333,3
24,1.0,1
