,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Delta,-2.216,0.635,-3.439,-0.906,0.007,0.011,8526.0,6395.0,1.0
mu_delta[midshaft],-2.381,0.409,-3.189,-1.583,0.003,0.003,14390.0,11418.0,1.0
mu_delta[distal],-2.345,0.478,-3.281,-1.388,0.004,0.004,14462.0,11328.0,1.0
base_ref[midshaft],-2.816,0.279,-3.358,-2.271,0.003,0.003,9656.0,8690.0,1.0
base_ref[distal],-2.146,0.323,-2.777,-1.502,0.003,0.003,10982.0,8914.0,1.0
gamma[age],0.183,0.073,0.041,0.326,0.001,0.001,17553.0,8279.0,1.0
gamma[female],0.394,0.216,-0.012,0.827,0.002,0.002,15523.0,8085.0,1.0
gamma[smoking],1.265,0.367,0.552,1.984,0.003,0.003,16600.0,8684.0,1.0
gamma[complete_displacement],0.804,0.255,0.296,1.301,0.002,0.002,12027.0,8523.0,1.0
gamma[comminution],0.541,0.254,0.032,1.029,0.002,0.003,14525.0,8464.0,1.0
gamma[shortening_gt2cm],0.674,0.259,0.149,1.17,0.002,0.002,17448.0,9575.0,1.0
sigma_base,0.169,0.134,0.0,0.427,0.002,0.001,6250.0,5760.0,1.0
omega,0.585,0.497,0.0,1.577,0.005,0.005,6636.0,5836.0,1.0
